class,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG149,PID10078,RIDALBirmingham,20,10195.75,3499.40,2260.25
DRG149,PID10092,RIDALTuscaloosa,38,14925.73,3913.92,2728.84
DRG149,PID10113,RIDALMobile,30,12466.23,3468.73,2392.13
DRG149,PID10118,RIDALBirmingham,16,21448.56,4437.12,3523.37
DRG149,PID10139,RIDALBirmingham,19,38751.15,3257.00,2371.73
DRG176,PID10001,RIDALDothan,33,23680.30,6020.27,5338.09
DRG176,PID10006,RIDALBirmingham,14,23228.42,5599.57,4633.85
DRG176,PID10010,RIDALHuntsville,12,12814.00,5446.41,4977.41
DRG176,PID10011,RIDALBirmingham,17,18820.05,6294.29,4565.70
DRG176,PID10016,RIDALBirmingham,17,31418.05,6328.70,4887.00
DRG176,PID10019,RIDALBirmingham,15,12212.00,5972.33,4924.33
DRG176,PID10023,RIDALMontgomery,24,31922.41,7846.45,6102.04
DRG176,PID10024,RIDALMontgomery,11,26301.81,6062.45,5345.00
DRG176,PID10029,RIDALBirmingham,15,12835.93,6282.06,4653.60
DRG176,PID10033,RIDALBirmingham,35,17814.42,7360.85,6405.82
DRG177,PID10001,RIDALDothan,21,48240.09,11634.52,10553.23
DRG177,PID10005,RIDALBirmingham,18,23464.22,11367.22,10686.11
DRG177,PID10006,RIDALBirmingham,83,48418.90,11365.80,9859.32
DRG177,PID10010,RIDALHuntsville,22,29775.04,10556.27,10099.00
DRG177,PID10011,RIDALBirmingham,30,63741.33,12574.60,10958.60
DRG177,PID10016,RIDALBirmingham,24,57383.04,11015.83,10573.08
DRG177,PID10021,RIDALDothan,17,17198.88,10533.35,9937.82
DRG177,PID10024,RIDALMontgomery,15,58056.86,11230.33,10628.66
DRG177,PID10025,RIDALBirmingham,19,18988.94,12106.78,11339.00
DRG177,PID10029,RIDALBirmingham,16,18398.12,11514.62,11025.37
DRG189,PID100248,RIDFLClearwater,29,44885.89,7323.79,6695.27
DRG189,PID220020,RIDMABoston,21,16982.00,9114.33,8386.47
DRG189,PID220119,RIDMABoston,12,43313.50,10454.91,9991.16
DRG189,PID220126,RIDMABoston,27,12424.25,7950.70,7314.88
DRG189,PID300012,RIDNHManchester,45,16677.91,8341.88,7218.53
DRG189,PID330067,RIDNYAlbany,12,29283.00,10534.66,9974.00
DRG189,PID450508,RIDTXHouston,11,17635.81,7586.36,6774.72
DRG189,PID520021,RIDWIMilwaukee,22,21478.00,7679.00,7014.45
DRG178,PID10001,RIDALDothan,22,31341.59,7873.54,7017.50
DRG178,PID10005,RIDALBirmingham,29,16967.00,9003.79,7318.62
DRG178,PID10006,RIDALBirmingham,31,41442.48,8063.38,7338.25
DRG178,PID10009,RIDALBirmingham,15,60995.86,8001.00,7254.86
DRG178,PID10010,RIDALHuntsville,21,21231.80,6822.23,6233.85
DRG178,PID10011,RIDALBirmingham,17,25045.47,8109.05,7363.70
DRG178,PID10012,RIDALBirmingham,22,45575.22,7485.22,6708.18
DRG178,PID10016,RIDALBirmingham,14,47358.07,11643.85,6528.35
DRG178,PID10019,RIDALBirmingham,18,19213.72,8227.44,7539.22
DRG178,PID10021,RIDALDothan,15,11068.06,8318.26,7268.13
DRG190,PID100053,RIDFLMiami,48,74033.39,10502.20,9684.79
DRG191,PID220080,RIDMABoston,49,10720.44,6626.73,5795.16
DRG191,PID330004,RIDNYAlbany,61,24863.55,7104.18,6384.63
DRG191,PID350015,RIDNDBismarck,27,9740.11,6105.70,5083.92
DRG191,PID450188,RIDTXDallas,13,25926.30,5430.00,4377.92
DRG193,PID100007,RIDFLOrlando,309,56522.28,10825.15,8759.08
DRG193,PID100053,RIDFLMiami,34,84811.14,12814.58,12161.02
DRG193,PID100054,RIDFLPensacola,20,69529.45,7300.55,6626.15
DRG189,PID10001,RIDALDothan,112,28807.61,7254.19,6552.40
DRG189,PID10005,RIDALBirmingham,38,19396.71,7274.05,6599.39
DRG193,PID100252,RIDFLOrlando,26,42686.11,10055.00,8127.00
DRG193,PID110001,RIDGAAtlanta,137,29133.29,8500.69,7785.85
DRG193,PID140185,RIDMOSt.Louis,133,34461.18,8510.93,7479.23
DRG193,PID140186,RIDILJoliet,56,32328.51,10612.25,8838.82
DRG193,PID140187,RIDMOSt.Louis,75,26018.26,8182.25,6932.58
DRG193,PID140289,RIDMOSt.Louis,49,28360.51,8158.20,7266.36
DRG190,PID10001,RIDALDothan,73,26582.76,6738.57,5957.19
DRG190,PID10005,RIDALBirmingham,85,16319.81,6775.05,5898.75
DRG190,PID10006,RIDALBirmingham,91,31315.10,6468.14,5264.94
DRG190,PID10007,RIDALDothan,14,16595.00,6134.64,5409.21
DRG190,PID10009,RIDALBirmingham,12,31052.58,5992.66,5246.00
DRG190,PID10010,RIDALHuntsville,65,18222.76,6179.30,5368.64
DRG190,PID10011,RIDALBirmingham,61,27379.08,6559.67,5420.63
DRG190,PID10012,RIDALBirmingham,46,27517.21,6042.08,5125.76
DRG190,PID10016,RIDALBirmingham,45,36289.97,6508.13,5760.57
DRG193,PID200001,RIDMEBangor,27,22451.92,9080.96,8412.51
DRG191,PID10001,RIDALDothan,164,23894.34,5464.65,4578.85
DRG191,PID10005,RIDALBirmingham,66,12395.69,5859.80,4535.50
DRG191,PID10006,RIDALBirmingham,85,23476.80,5342.55,4187.43
DRG191,PID10007,RIDALDothan,25,13101.20,5052.60,4277.52
DRG191,PID10009,RIDALBirmingham,31,42049.70,5854.61,4269.09
DRG191,PID10010,RIDALHuntsville,74,13337.72,5064.86,3873.29
DRG194,PID50242,RIDCASantaCruz,96,60386.84,9175.01,8250.46
DRG194,PID70027,RIDCTHartford,69,16737.85,6583.78,5606.82
DRG194,PID100061,RIDFLMiami,32,33432.12,7389.15,6414.65
DRG192,PID10001,RIDALDothan,49,15609.81,4482.18,3003.53
DRG192,PID10005,RIDALBirmingham,30,9892.56,4439.56,3240.83
DRG192,PID10006,RIDALBirmingham,49,18648.83,5096.73,2597.97
DRG192,PID10007,RIDALDothan,34,7997.08,3794.14,2700.91
DRG192,PID10008,RIDALMontgomery,23,13444.00,5213.91,4049.65
DRG192,PID10009,RIDALBirmingham,27,32671.48,3880.00,3045.03
DRG192,PID10010,RIDALHuntsville,30,10807.46,3873.36,2543.80
