@relation 'training_set-weka.filters.unsupervised.attribute.Remove-R2,4'

@attribute class {DRG039,DRG057,DRG069,DRG064,DRG065,DRG066,DRG074,DRG101,DRG149,DRG176,DRG177,DRG189,DRG178,DRG190,DRG191,DRG193,DRG194,DRG192,DRG195,DRG202,DRG203,DRG207,DRG238,DRG252,DRG253,DRG208,DRG254,DRG291,DRG243,DRG244,DRG246,DRG247,DRG249,DRG251,DRG280,DRG292,DRG281,DRG282,DRG286,DRG287,DRG293,DRG300,DRG301,DRG303,DRG305,DRG308,DRG312,DRG309,DRG310,DRG313,DRG314,DRG315,DRG330,DRG377,DRG329,DRG372,DRG378,DRG379,DRG389,DRG390,DRG391,DRG394,DRG439,DRG392,DRG460,DRG473,DRG418,DRG419,DRG469,DRG470,DRG480,DRG481,DRG536,DRG482,DRG552,DRG491,DRG563,DRG602,DRG603,DRG638,DRG640,DRG682,DRG641,DRG683,DRG684,DRG689,DRG690,DRG811,DRG698,DRG699,DRG812,DRG853,DRG885,DRG870,DRG871,DRG872,DRG897,DRG948,DRG917,DRG918}
@attribute providerRegionDescription {RIDALDothan,RIDALBirmingham,RIDALMontgomery,RIDALHuntsville,RIDAZPhoenix,RIDAZMesa,RIDARJonesboro,RIDALTuscaloosa,RIDALMobile,RIDFLClearwater,RIDMABoston,RIDNHManchester,RIDNYAlbany,RIDTXHouston,RIDWIMilwaukee,RIDFLMiami,RIDNDBismarck,RIDTXDallas,RIDFLOrlando,RIDFLPensacola,RIDGAAtlanta,RIDMOSt.Louis,RIDILJoliet,RIDMEBangor,RIDCASantaCruz,RIDCTHartford,RIDFLOcala,RIDCTNewHaven,RIDSCCharleston,RIDNJCamden,RIDNYBronx,RIDPAErie,RIDKSWichita,RIDPAPittsburgh,RIDMEPortland,RIDGAAugusta,RIDGAMacon,RIDILEvanston,RIDILElgin,RIDMDSalisbury,RIDMIAnnArbor,RIDMILansing,RIDKYPaducah,RIDNJMorristown,RIDCANapa,RIDCASacramento,RIDCODenver,RIDCOGreeley,RIDCTBridgeport,RIDFLFortMyers,RIDCAChico,RIDTNMemphis,RIDOHCanton,RIDARSpringdale,RIDCAFresno,RIDCAStockton,RIDCALosAngeles,RIDMNDuluth,RIDCAOrangeCounty,RIDCASanDiego,RIDCASanBernardino,RIDNCRaleigh,RIDWIAppleton,RIDILBloomington,RIDPAAllentown,RIDCARedding,RIDAZTucson,RIDIAIowaCity,RIDMIDearborn,RIDILSpringfield,RIDARLittleRock,RIDCOBoulder,RIDCOFortCollins,RIDPAJohnstown,RIDWIMadison,RIDNEOmaha,RIDOHCleveland,RIDTXElPaso,RIDCASalinas,RIDCABakersfield,RIDDCWashington,RIDFLJacksonville,RIDHIHonolulu,RIDILChicago,RIDINGary,RIDLAShreveport,RIDLAMonroe,RIDCAModesto}
@attribute averageCoveredPayments numeric
@attribute averageTotalPayments numeric
@attribute averageMedicarePayments numeric

@data
DRG066,RIDALMontgomery,18203.61,5462.82,4624.35
DRG066,RIDALMontgomery,16572.76,4811,3511.09
DRG074,RIDALDothan,18489.15,4876,4097.23
DRG074,RIDALBirmingham,24962.92,5386.07,3451.64
DRG074,RIDALBirmingham,15050.41,4784.66,4129.66
DRG074,RIDALMontgomery,20371.85,5774.07,4972.35
DRG074,RIDALMontgomery,22215.22,6089.94,3664.61
DRG074,RIDALBirmingham,8198.75,5112.91,4177.58
DRG074,RIDALBirmingham,10775.52,5557.28,3669.76
DRG074,RIDALBirmingham,30822.97,6843.19,5501.68
DRG074,RIDALHuntsville,32565.82,6568.5,4253.71
DRG074,RIDALBirmingham,57705.42,4849.71,4526.35
DRG101,RIDALDothan,19619.7,4667.22,3249.66
DRG101,RIDALBirmingham,18362.2,4199.16,3005.95
DRG101,RIDALBirmingham,15468.45,4154.22,3041.36
DRG101,RIDALBirmingham,24004.8,4229.86,3152.56
DRG101,RIDALBirmingham,13359.66,4243.5,3405.16
DRG101,RIDALMontgomery,16271.15,5036.8,4247.6
DRG101,RIDALMontgomery,19228.61,4274.64,3256.32
DRG101,RIDALBirmingham,9518.91,4713.04,3221.79
DRG101,RIDALBirmingham,15283.03,6024.28,4290.73
DRG101,RIDALMontgomery,5797.42,4313.64,3509.64
DRG149,RIDALMontgomery,15280.28,4295.42,3131.21
DRG149,RIDALMontgomery,12631.5,3618,2680
DRG149,RIDALBirmingham,19866.81,3311.45,2491.09
DRG149,RIDALHuntsville,19069.25,4034.12,2691.12
DRG149,RIDALBirmingham,9433.13,3260,2289.6
DRG149,RIDALBirmingham,10195.75,3499.4,2260.25
DRG149,RIDALTuscaloosa,14925.73,3913.92,2728.84
DRG149,RIDALMobile,12466.23,3468.73,2392.13
DRG149,RIDALBirmingham,21448.56,4437.12,3523.37
DRG149,RIDALBirmingham,38751.15,3257,2371.73
DRG176,RIDALDothan,23680.3,6020.27,5338.09
DRG176,RIDALBirmingham,23228.42,5599.57,4633.85
DRG176,RIDALHuntsville,12814,5446.41,4977.41
DRG176,RIDALBirmingham,18820.05,6294.29,4565.7
DRG176,RIDALBirmingham,31418.05,6328.7,4887
DRG176,RIDALBirmingham,12212,5972.33,4924.33
DRG176,RIDALMontgomery,31922.41,7846.45,6102.04
DRG176,RIDALMontgomery,26301.81,6062.45,5345
DRG176,RIDALBirmingham,12835.93,6282.06,4653.6
DRG176,RIDALBirmingham,17814.42,7360.85,6405.82
DRG177,RIDALDothan,48240.09,11634.52,10553.23
DRG177,RIDALBirmingham,23464.22,11367.22,10686.11
DRG177,RIDALBirmingham,48418.9,11365.8,9859.32
DRG177,RIDALHuntsville,29775.04,10556.27,10099
DRG177,RIDALBirmingham,63741.33,12574.6,10958.6
DRG177,RIDALBirmingham,57383.04,11015.83,10573.08
DRG177,RIDALDothan,17198.88,10533.35,9937.82
DRG177,RIDALMontgomery,58056.86,11230.33,10628.66
DRG177,RIDALBirmingham,18988.94,12106.78,11339
DRG177,RIDALBirmingham,18398.12,11514.62,11025.37
DRG189,RIDFLClearwater,44885.89,7323.79,6695.27
DRG189,RIDMABoston,16982,9114.33,8386.47
DRG189,RIDMABoston,43313.5,10454.91,9991.16
DRG189,RIDMABoston,12424.25,7950.7,7314.88
DRG189,RIDNHManchester,16677.91,8341.88,7218.53
DRG189,RIDNYAlbany,29283,10534.66,9974
DRG189,RIDTXHouston,17635.81,7586.36,6774.72
DRG189,RIDWIMilwaukee,21478,7679,7014.45
