@relation 'training_set-weka.filters.unsupervised.attribute.Remove-R2,4'

@attribute class {DRG039,DRG057,DRG069,DRG064,DRG065,DRG066,DRG074,DRG101,DRG149,DRG176,DRG177,DRG189,DRG178,DRG190,DRG191,DRG193,DRG194,DRG192,DRG195,DRG202,DRG203,DRG207,DRG238,DRG252,DRG253,DRG208,DRG254,DRG291,DRG243,DRG244,DRG246,DRG247,DRG249,DRG251,DRG280,DRG292,DRG281,DRG282,DRG286,DRG287,DRG293,DRG300,DRG301,DRG303,DRG305,DRG308,DRG312,DRG309,DRG310,DRG313,DRG314,DRG315,DRG330,DRG377,DRG329,DRG372,DRG378,DRG379,DRG389,DRG390,DRG391,DRG394,DRG439,DRG392,DRG460,DRG473,DRG418,DRG419,DRG469,DRG470,DRG480,DRG481,DRG536,DRG482,DRG552,DRG491,DRG563,DRG602,DRG603,DRG638,DRG640,DRG682,DRG641,DRG683,DRG684,DRG689,DRG690,DRG811,DRG698,DRG699,DRG812,DRG853,DRG885,DRG870,DRG871,DRG872,DRG897,DRG948,DRG917,DRG918}
@attribute providerRegionDescription {RIDALDothan,RIDALBirmingham,RIDALMontgomery,RIDALHuntsville,RIDAZPhoenix,RIDAZMesa,RIDARJonesboro,RIDALTuscaloosa,RIDALMobile,RIDFLClearwater,RIDMABoston,RIDNHManchester,RIDNYAlbany,RIDTXHouston,RIDWIMilwaukee,RIDFLMiami,RIDNDBismarck,RIDTXDallas,RIDFLOrlando,RIDFLPensacola,RIDGAAtlanta,RIDMOSt.Louis,RIDILJoliet,RIDMEBangor,RIDCASantaCruz,RIDCTHartford,RIDFLOcala,RIDCTNewHaven,RIDSCCharleston,RIDNJCamden,RIDNYBronx,RIDPAErie,RIDKSWichita,RIDPAPittsburgh,RIDMEPortland,RIDGAAugusta,RIDGAMacon,RIDILEvanston,RIDILElgin,RIDMDSalisbury,RIDMIAnnArbor,RIDMILansing,RIDKYPaducah,RIDNJMorristown,RIDCANapa,RIDCASacramento,RIDCODenver,RIDCOGreeley,RIDCTBridgeport,RIDFLFortMyers,RIDCAChico,RIDTNMemphis,RIDOHCanton,RIDARSpringdale,RIDCAFresno,RIDCAStockton,RIDCALosAngeles,RIDMNDuluth,RIDCAOrangeCounty,RIDCASanDiego,RIDCASanBernardino,RIDNCRaleigh,RIDWIAppleton,RIDILBloomington,RIDPAAllentown,RIDCARedding,RIDAZTucson,RIDIAIowaCity,RIDMIDearborn,RIDILSpringfield,RIDARLittleRock,RIDCOBoulder,RIDCOFortCollins,RIDPAJohnstown,RIDWIMadison,RIDNEOmaha,RIDOHCleveland,RIDTXElPaso,RIDCASalinas,RIDCABakersfield,RIDDCWashington,RIDFLJacksonville,RIDHIHonolulu,RIDILChicago,RIDINGary,RIDLAShreveport,RIDLAMonroe,RIDCAModesto}
@attribute averageCoveredPayments numeric
@attribute averageTotalPayments numeric
@attribute averageMedicarePayments numeric

@data
DRG238,RIDALBirmingham,92473.7,17771.25,15057.75
DRG238,RIDALMontgomery,58854.2,20056.95,18966.59
DRG238,RIDALBirmingham,38432.5,16443.71,15268.34
DRG238,RIDALBirmingham,87058.41,22211.97,21019.16
DRG238,RIDALHuntsville,105963.79,18693.74,16548.32
DRG291,RIDMDSalisbury,8104.05,7617.83,7027.38
DRG243,RIDALDothan,56938.7,14922.15,14005.43
DRG243,RIDALBirmingham,64304.27,13519.94,12449.88
DRG243,RIDALBirmingham,57962.35,14445.28,12587
DRG243,RIDALMontgomery,55280.28,17580.95,16087.9
DRG243,RIDALMontgomery,93202.17,15521.11,13869.35
DRG243,RIDALBirmingham,34117.8,15164.6,14174.84
DRG243,RIDALBirmingham,65453.85,18957.52,16942.66
DRG243,RIDALHuntsville,65814.35,15613.78,14504.76
DRG243,RIDALBirmingham,121300.9,13977.2,12080.46
DRG243,RIDALBirmingham,142715.64,13874.35,12991.78
DRG291,RIDMIAnnArbor,28375.66,8787.78,7934.59
DRG291,RIDMILansing,10280.33,10390.72,9831.83
DRG244,RIDALDothan,46950.14,11537.66,10575
DRG244,RIDALBirmingham,53347.26,10884,10021.84
DRG244,RIDALBirmingham,47738.86,10689.93,9606.13
DRG244,RIDALBirmingham,65642.46,11564.53,9672.23
DRG244,RIDALMontgomery,49449.88,13724.11,12818.42
DRG244,RIDALMontgomery,72364.24,11331.4,10381.72
DRG244,RIDALBirmingham,28558.58,11345.06,10324.27
DRG244,RIDALBirmingham,57697.76,15337.76,13052.76
DRG244,RIDALHuntsville,59624.03,12088.37,10739.25
DRG244,RIDALBirmingham,99782.65,10540,9083
DRG246,RIDALDothan,84912.15,18301.07,17307.68
DRG246,RIDALBirmingham,84797.81,18252.18,17340.48
DRG246,RIDALBirmingham,60234.93,17478.31,16562.5
DRG246,RIDALBirmingham,135364.21,16369.28,14816.21
DRG246,RIDALBirmingham,111867.11,18200.7,17201.59
DRG246,RIDALMontgomery,82225.3,20241.3,18416.11
DRG246,RIDALBirmingham,41985.66,18276.8,17455.2
DRG246,RIDALBirmingham,104912.72,24938.17,24397.2
DRG246,RIDALHuntsville,82102.36,19136.35,17513.11
DRG246,RIDALBirmingham,52260.56,16686.93,14167.68
DRG247,RIDALMobile,43783.65,10552.97,9130.43
DRG247,RIDALDothan,61844.96,11087.4,9816.35
DRG247,RIDALBirmingham,46095.22,11518.45,10698.09
DRG247,RIDALBirmingham,58569.53,10263.07,9087.42
DRG247,RIDALBirmingham,46296.46,10955.26,9404.89
DRG247,RIDALBirmingham,86582.57,10505.68,9624.65
DRG247,RIDALBirmingham,80243.23,11010.2,9645.97
DRG247,RIDALMontgomery,53498.71,13255.6,12051.2
DRG247,RIDALMontgomery,50399,11150.3,10287.76
DRG247,RIDALBirmingham,29573.24,11273.1,9644.08
DRG249,RIDALDothan,55815.12,9887.68,8300.56
DRG249,RIDALBirmingham,54674.28,9444.71,7882.25
DRG249,RIDALBirmingham,48754.63,10341.78,8149.39
DRG249,RIDALBirmingham,69717.69,9854.81,8930.57
DRG249,RIDALMontgomery,46764.7,11901.5,10948.9
DRG249,RIDALMontgomery,46112.94,9960.21,8523.57
DRG249,RIDALBirmingham,32961.18,10120.89,9081.66
DRG249,RIDALBirmingham,54038.68,12728.92,11691.4
DRG249,RIDALHuntsville,43171.26,10472.32,9182.64
DRG249,RIDALBirmingham,145513.66,9561.08,8439.75
DRG252,RIDFLOrlando,96067.61,17960.95,17104.66
DRG251,RIDALDothan,46396.17,10194,9402.47
DRG251,RIDALBirmingham,50850.53,9596.07,8640.69
DRG251,RIDALBirmingham,38131.35,9998.23,8308.23
DRG251,RIDALMontgomery,42330.52,11618,10709.76
DRG251,RIDALBirmingham,25165.05,10167,8909.36
DRG251,RIDALBirmingham,70513.25,12990.48,12217.1
DRG251,RIDALHuntsville,39543.78,10733.91,9688.23
DRG251,RIDALBirmingham,29690.03,9535.38,8135.23
DRG251,RIDALMobile,43251.69,9315.69,8362.76
DRG251,RIDALTuscaloosa,37283.91,10743,9807.66
DRG252,RIDKYPaducah,60660.26,16344.26,15798.21
DRG252,RIDNHManchester,68214.72,24673.18,24261.54
DRG252,RIDNJMorristown,107546.75,24212.06,23598.48
DRG252,RIDALDothan,86504.43,20657.29,16209.35
DRG252,RIDALBirmingham,80392.09,16579.96,15899.72
DRG252,RIDALBirmingham,44442.71,16246.78,14562.07
DRG253,RIDALDothan,64586.71,13576.61,12723.79
DRG253,RIDALBirmingham,38748.45,14054.36,13342.72
DRG253,RIDALBirmingham,72561.69,12781.76,11913.86
DRG253,RIDALHuntsville,38257.53,12007.76,11233.92
DRG253,RIDALBirmingham,52281.18,13087.37,12458.62
DRG253,RIDALBirmingham,57907,13168.81,11676.5
DRG253,RIDALMontgomery,46177.52,15490.05,14451.58
DRG253,RIDALBirmingham,32264.37,13929.85,12937.45
DRG254,RIDALDothan,45614.84,8932.53,7756.69
DRG254,RIDALBirmingham,25858.36,8918.18,7795.27
DRG254,RIDALBirmingham,56956.73,8623.07,7841.84
DRG254,RIDALHuntsville,27811.07,8694.38,8264
DRG254,RIDALBirmingham,52892.75,9336.8,7583.25
DRG254,RIDALBirmingham,53030.1,9096.6,8150.05
DRG254,RIDALMontgomery,30926.75,11000.15,9290.96
DRG254,RIDALBirmingham,21799.18,9101.28,8196.89
DRG280,RIDALDothan,40237.34,10417.22,9199.15
DRG280,RIDALBirmingham,49635.9,9372.42,8569.95
DRG280,RIDALBirmingham,47468.55,11911.22,8412.16
DRG280,RIDALBirmingham,44164.29,10117.82,9394.76
DRG280,RIDALBirmingham,17021.15,9101.38,8393.46
DRG280,RIDALMontgomery,40433.93,12572.81,11720.09
DRG280,RIDALMontgomery,37668.67,10386.9,9297.61
DRG280,RIDALBirmingham,15098.11,10508.27,9302.38
DRG280,RIDALBirmingham,19253.69,10237.8,9387.02
DRG280,RIDALBirmingham,59410.51,15145.21,13439.29
DRG292,RIDCANapa,53579.19,9367.76,8805.46
DRG281,RIDALDothan,28963.8,6693.84,5731.17
DRG281,RIDALBirmingham,30720.81,6359.37,5514.37
DRG281,RIDALBirmingham,24455.35,6425.05,5694.47
DRG281,RIDALBirmingham,39002.8,6618.85,5624.66
DRG281,RIDALMontgomery,26389.89,7947.82,6874.65
DRG281,RIDALMontgomery,27186.19,6745.38,5900.07
DRG281,RIDALBirmingham,34636.11,9475.28,7448.94
DRG281,RIDALBirmingham,21048,6085.69,5132.76
DRG281,RIDALHuntsville,25307.28,7234.22,6011.51
DRG281,RIDALBirmingham,92559.41,8225.83,7196.16
DRG292,RIDCASacramento,35138.9,8525.81,7707.39
DRG292,RIDCODenver,33084.32,6852.68,5644.16
DRG292,RIDCOGreeley,18665.12,5610.58,4788.93
DRG292,RIDCTBridgeport,27373.02,7422.93,6693.6
DRG292,RIDCTNewHaven,20621.4,6643.2,5932.9
DRG282,RIDALDothan,27298.33,4921.81,3370.42
DRG282,RIDALBirmingham,22594.11,4303.7,3245.82
DRG282,RIDALBirmingham,17427.36,4396.27,3481.72
DRG282,RIDALBirmingham,10568.93,4308.73,3558.33
DRG282,RIDALMontgomery,25152.81,5374,4384.59
DRG282,RIDALMontgomery,20271.38,4566.46,3703.07
DRG282,RIDALBirmingham,11609.83,4665.58,3685.08
DRG282,RIDALBirmingham,30072.85,7143.3,4184.45
DRG282,RIDALBirmingham,18989.37,4316.87,3298.12
DRG292,RIDCTHartford,27009.5,7060.14,6310.86
DRG282,RIDALHuntsville,23716.63,4832.92,3895.94
DRG292,RIDFLMiami,50003.88,8068.65,7336.62
DRG286,RIDALDothan,45796.56,11327.5,10484.5
DRG286,RIDALBirmingham,45169.5,10819.95,8958.05
DRG286,RIDALBirmingham,40385.22,10996,10185.55
DRG286,RIDALBirmingham,63499.35,11181.07,9701.28
DRG286,RIDALMontgomery,36850.17,13433.86,12802.39
DRG286,RIDALMontgomery,43035.33,11333.25,10683.58
DRG286,RIDALBirmingham,21572.75,11466.89,10580.64
DRG286,RIDALBirmingham,117293.63,24841.57,18366.42
DRG286,RIDALBirmingham,43313.07,10980,10457.53
DRG286,RIDALBirmingham,49232.54,10313.27,9146.54
DRG287,RIDALDothan,30576.78,6271.82,4903.51
DRG287,RIDALBirmingham,23755.73,6312,5055.94
DRG287,RIDALBirmingham,26789.68,5853.71,4763.65
DRG287,RIDALBirmingham,18766.64,5909.91,4913.03
DRG287,RIDALBirmingham,41424,5914.51,4355.22
DRG287,RIDALBirmingham,37307.48,6221.27,4835.83
DRG287,RIDALMontgomery,25754.28,7362.56,6215.26
DRG287,RIDALMontgomery,23040.87,6199.07,4805.01
DRG287,RIDALBirmingham,15041.58,5934.91,4758.08
DRG287,RIDALBirmingham,16266.37,6315.16,5355.39
DRG292,RIDFLFortMyers,21122.28,6005.41,5343.7
DRG292,RIDFLMiami,28687.02,7435.8,6689.13
DRG293,RIDALDothan,14707.02,3881.31,3053.8
DRG293,RIDALBirmingham,10107.37,4055.62,2910.68
DRG293,RIDALBirmingham,14005.55,3659.52,2868.72
DRG293,RIDALDothan,7810.36,3490.54,2774.06
DRG293,RIDALMontgomery,13040.55,4979.66,4171
DRG293,RIDALBirmingham,25750.36,3627.63,2800.26
DRG293,RIDALBirmingham,11856.1,3738.5,3019.92
DRG293,RIDALBirmingham,19650.75,3486.87,2784.7
DRG293,RIDALMobile,5950.64,3915.57,3437.28
DRG293,RIDALBirmingham,18962.61,4531.85,2967.09
DRG300,RIDALDothan,21299.34,5532.24,4681.2
DRG300,RIDALBirmingham,8175.56,5460.93,4403.68
DRG300,RIDALBirmingham,25328.9,5242.59,4248.4
DRG300,RIDALHuntsville,7162.72,5077.9,4469.18
DRG300,RIDALBirmingham,16848.26,5326.08,4738.26
DRG300,RIDALBirmingham,26794,5938.8,4618.6
DRG300,RIDALBirmingham,14793.63,5320.36,4726.26
DRG300,RIDALMontgomery,23142.61,6477.27,5790.83
DRG300,RIDALMontgomery,15433.91,5363.17,4581.26
DRG300,RIDALBirmingham,9782.08,5468.88,4631.08
DRG301,RIDFLPensacola,22168,3556.9,2642.36
DRG301,RIDILElgin,13976,4123.5,3251.94
DRG301,RIDALDothan,10889.05,4174.35,2380.35
DRG301,RIDALBirmingham,11323.29,3491.04,2693.2
DRG301,RIDALBirmingham,7881.37,3600.81,2612.31
DRG301,RIDALBirmingham,18955.07,3600.42,2875
DRG301,RIDALBirmingham,8572.73,3635.86,2661.2
DRG301,RIDALMontgomery,17792.61,4368.44,3619.11
DRG301,RIDALBirmingham,7966.25,4247.75,2717.66
DRG301,RIDALBirmingham,21222.87,4965.2,3714.75
DRG303,RIDALDothan,18901.63,3297.72,2377.36
DRG303,RIDALBirmingham,8309.84,3415.15,2467.15
DRG303,RIDALBirmingham,11776.75,3236.58,2095.08
DRG303,RIDALBirmingham,21068.5,3237.92,2276.78
DRG303,RIDALBirmingham,10950.21,3257.17,2421.86
DRG303,RIDALMontgomery,13244.87,3912.03,3040.8
DRG303,RIDALBirmingham,5241.58,3332.5,2297.5
DRG303,RIDALBirmingham,12385.52,4317.43,3425.04
DRG303,RIDALHuntsville,19439.4,4223.95,2598.55
DRG303,RIDALDothan,14500.18,3063.81,2146.36
DRG305,RIDALBirmingham,20969.68,3408.68,2428.18
DRG305,RIDALMontgomery,11238.73,4522.47,3014.6
DRG305,RIDALMontgomery,13689,4204.6,2345.8
DRG305,RIDALBirmingham,6086.45,3637.36,2597.09
DRG305,RIDALBirmingham,8562.69,3505.23,2726.46
DRG305,RIDALBirmingham,13379.87,4500.54,3432.61
DRG305,RIDALBirmingham,17871.72,3186.63,2163.36
DRG305,RIDALHuntsville,19585.35,4491.75,2427
DRG305,RIDALBirmingham,31010.93,3214.4,2166.4
DRG305,RIDALBirmingham,19256.71,3450.33,2149.42
DRG308,RIDALDothan,25886.55,7167.68,6033.08
DRG308,RIDALBirmingham,13262.93,7225.87,6526.37
DRG308,RIDALBirmingham,31553.83,6586.33,5845.52
DRG308,RIDALBirmingham,24363.77,6721.94,6033.72
DRG308,RIDALBirmingham,32328.58,6238.75,5489.41
DRG308,RIDALBirmingham,50356.08,6852.6,6316.92
DRG308,RIDALBirmingham,14348.8,6794.85,6173.85
DRG308,RIDALMontgomery,30786.68,8161.68,7328.06
DRG308,RIDALMontgomery,28066.47,7336,6450.68
DRG308,RIDALBirmingham,14020.3,6990.3,6241.25
DRG312,RIDAZPhoenix,21241.14,5430.28,4550
DRG312,RIDAZMesa,33570.51,5010.19,3390.45
DRG309,RIDCAChico,39929.21,5750.69,4822
DRG309,RIDTNMemphis,15975.92,4449,3929
DRG309,RIDOHCanton,7262.79,4481.66,3681.16
DRG309,RIDALDothan,19155.11,4883.85,3873.84
DRG309,RIDALBirmingham,13036.88,5000.58,4069.7
DRG309,RIDALBirmingham,16674.28,4465.45,3533.15
DRG309,RIDALHuntsville,8981.91,4181.26,3400.73
DRG309,RIDALBirmingham,17324.21,4569.84,3619.71
DRG309,RIDALBirmingham,25947.11,4425,3766.64
DRG309,RIDALBirmingham,27599.96,5058.5,3757.57
DRG312,RIDARJonesboro,8029.11,4420.85,3454.22
DRG312,RIDARSpringdale,19691.84,4247.84,3130.86
DRG312,RIDCAFresno,23290.96,5868.35,4235.82
DRG312,RIDCAStockton,49409.5,5613.25,4675.25
DRG312,RIDCALosAngeles,32589.59,5521.07,4686.7
DRG310,RIDALDothan,13072.69,3347.1,2256.5
DRG310,RIDALBirmingham,10547.41,3046.81,2129.36
DRG310,RIDALDothan,5604.57,2944.21,1997.68
DRG310,RIDALBirmingham,18365.15,3023.23,2152.46
DRG310,RIDALHuntsville,6713.1,3062.47,2174.94
DRG310,RIDALBirmingham,11557.02,3283.2,2076.82
DRG310,RIDALBirmingham,16509.19,3007.38,2137.19
DRG310,RIDALBirmingham,14979.76,3317.07,2161.21
DRG310,RIDALBirmingham,10366.68,3171.2,2161.82
DRG310,RIDALMontgomery,10849.16,3869.1,2844.5
DRG312,RIDCALosAngeles,47090.47,6717.11,5786.76
DRG312,RIDCOGreeley,18376.43,4588.87,3124.81
DRG312,RIDCTHartford,12476.57,4879.36,3976.15
DRG313,RIDMABoston,6760.53,3547,2633.04
DRG313,RIDALDothan,19540.55,3428.58,2093.38
DRG313,RIDALBirmingham,20241.84,3849.76,1704.53
DRG313,RIDALDothan,6417.2,2808.08,1872.38
DRG313,RIDALBirmingham,13311.78,2997,2113.84
DRG313,RIDALBirmingham,21375.25,3339.94,2116.02
DRG313,RIDALBirmingham,12569.92,3072.15,2293.38
DRG313,RIDALMontgomery,12072.04,3781.33,2746.33
DRG313,RIDALMontgomery,9999.98,3121.7,2213.9
DRG313,RIDALBirmingham,7274.72,3270.55,2458.33
DRG314,RIDALDothan,35343.27,10161.9,8602.2
DRG314,RIDALBirmingham,35588.81,9508.27,9205.36
DRG314,RIDALBirmingham,52267.54,9954.45,9237
DRG314,RIDALBirmingham,17354.06,10106.75,9544.75
DRG314,RIDALMontgomery,24506.41,11537.05,9737.05
DRG314,RIDALMontgomery,39205.48,10123,9574.59
DRG314,RIDALBirmingham,16815.97,10014.58,8754.33
DRG314,RIDALBirmingham,44650.97,14953.75,11784.62
DRG314,RIDALHuntsville,58824.82,12759.55,10054.47
DRG314,RIDALBirmingham,108547.94,10104.16,9636.94
DRG315,RIDMNDuluth,15372,6401.92,5712.69
DRG315,RIDWIMilwaukee,19702.9,5756,4938.54
DRG330,RIDFLOrlando,111379.34,19834.63,16157.97
DRG315,RIDALDothan,26014.66,5787.22,4225.66
DRG315,RIDALBirmingham,10562.27,5408.09,4593.54
DRG315,RIDALBirmingham,28862.27,5083.18,4368.63
DRG315,RIDALBirmingham,27124.54,5380.36,4968.72
DRG315,RIDALBirmingham,13364.4,5296.33,4696.86
DRG315,RIDALMontgomery,23994.38,6203,5506.38
DRG315,RIDALBirmingham,7255.46,5498.33,4824.46
DRG315,RIDALBirmingham,38550.6,8505.82,7330.62
DRG377,RIDCAOrangeCounty,70727.06,13670.2,13048.7
DRG377,RIDCASanDiego,60983.54,15112.5,14491.5
DRG329,RIDALDothan,108112.28,29698.92,28935.35
DRG329,RIDALBirmingham,115708.6,26836.08,26006.34
DRG329,RIDALBirmingham,76467.29,27889.76,24294.88
DRG329,RIDALBirmingham,142560.71,29735.09,29031.62
DRG329,RIDALMontgomery,129017.22,37303.55,33495.55
DRG329,RIDALMontgomery,101171.95,30995.66,29761.87
DRG329,RIDALBirmingham,52880.72,27117.33,26039.22
DRG329,RIDALBirmingham,142991.34,39041.47,38477.18
DRG329,RIDALBirmingham,159315.42,38150.47,37050.63
DRG329,RIDALHuntsville,149896.22,35873.48,31076.28
DRG330,RIDALDothan,60062.12,14427.68,13471.08
DRG330,RIDALBirmingham,58105.58,13654.5,12672
DRG330,RIDALHuntsville,30403.9,13427.81,11596
DRG330,RIDALBirmingham,30432.6,13650,12206.47
DRG330,RIDALBirmingham,71613.11,15005.65,11710.08
DRG330,RIDALMontgomery,56497.66,17116,15445.2
DRG330,RIDALMontgomery,58902.97,14405.91,12612
DRG330,RIDALBirmingham,25121.17,14605.92,13374.03
DRG330,RIDALBirmingham,72764.64,21628.52,17088.53
DRG377,RIDCASanBernardino,39692.6,12850,12290.4
DRG377,RIDCODenver,94313,12049,10475.11
DRG377,RIDFLPensacola,100873.33,10548.66,9988
DRG377,RIDFLMiami,78796.46,19448.69,12227.84
DRG372,RIDALDothan,27708.41,7399.94,6215.11
DRG372,RIDALHuntsville,16094.46,8805.53,4197.07
DRG372,RIDALBirmingham,33125.29,7033.05,6504.11
DRG372,RIDALBirmingham,21086.16,7384.66,6842.25
DRG372,RIDALMontgomery,20818.25,6645.41,6082.08
DRG372,RIDALBirmingham,9112.07,7165.07,6525.07
DRG372,RIDALBirmingham,25766.53,9745.48,8224.61
DRG372,RIDALHuntsville,27464.43,7889.46,6532.21
DRG372,RIDALBirmingham,59188.4,6842,5856.06
DRG372,RIDALDothan,30135.57,6795.92,6149.07
DRG377,RIDGAAtlanta,36398.42,10071.71,9667.42
DRG377,RIDGAAtlanta,28022.22,13400.13,11910.75
DRG377,RIDALBirmingham,53031,8598.27,7683.72
DRG377,RIDALHuntsville,43752.62,10419.35,9735.65
DRG378,RIDALDothan,22625.72,5749.54,4935.76
DRG378,RIDALBirmingham,10613.83,5933.95,4909.48
DRG378,RIDALBirmingham,21184.13,5459.13,4526.61
DRG378,RIDALHuntsville,11840.17,5423.19,4206.42
DRG378,RIDALBirmingham,19612.02,5756.54,4603.76
DRG378,RIDALBirmingham,22304.29,5271.06,4368.48
DRG378,RIDALBirmingham,32471.6,5724.02,4791.25
DRG378,RIDALBirmingham,16246.44,5691.55,4795.14
DRG378,RIDALMontgomery,19092.76,7162.33,5552.76
DRG378,RIDALMontgomery,21780.31,5876.37,4763.84
DRG379,RIDALBirmingham,17413.41,4128.11,2592.47
DRG379,RIDALHuntsville,5725.63,3846,2600
DRG379,RIDALBirmingham,13277.91,4075,2896.69
DRG379,RIDALBirmingham,23555.6,4023.82,2989.53
DRG379,RIDALBirmingham,12136.05,3968.17,3069.77
DRG379,RIDALMontgomery,13537.77,5067.44,3971.05
DRG379,RIDALMontgomery,15196.8,4046.56,3144.39
DRG379,RIDALBirmingham,14430.84,5995.8,3922.46
DRG379,RIDFLPensacola,14613.91,3931.47,3146.78
DRG379,RIDALBirmingham,26440.45,3807.45,2525
DRG389,RIDALDothan,22502.66,5253.49,4234.11
DRG389,RIDALBirmingham,8466.17,5317.58,4389.11
DRG389,RIDALBirmingham,25449.96,4987,4186.42
DRG389,RIDALHuntsville,7693.2,4868.4,4027.4
DRG389,RIDALBirmingham,17293.42,5089.52,4230.09
DRG389,RIDALBirmingham,31211.45,5192.09,4577.54
DRG389,RIDALBirmingham,15756,5109.18,4285.9
DRG389,RIDALMontgomery,28526.17,6330.47,5535.17
DRG389,RIDALMontgomery,20916.17,5217.8,4447.97
DRG389,RIDALBirmingham,9763.26,5331.86,4430.53
DRG390,RIDALDothan,18370.04,4355.9,2416.36
DRG390,RIDALBirmingham,7359.25,3722.75,2946.5
DRG390,RIDALBirmingham,17519.5,3399,2463.66
DRG390,RIDALBirmingham,11448.86,3469.46,2494.8
DRG390,RIDALBirmingham,20000.52,3538.8,2736.33
DRG390,RIDALBirmingham,9934.75,3573.5,2635.5
DRG390,RIDALMontgomery,11794.6,4274.06,3223.93
DRG390,RIDALMontgomery,14875.28,3579.34,2751.97
DRG390,RIDALBirmingham,6548.85,3782.64,2900.07
DRG390,RIDALBirmingham,6617.7,3575.41,2521.29
DRG391,RIDALDothan,30981,6539.74,5810.18
DRG391,RIDALBirmingham,41169.9,6990.59,6110.27
DRG391,RIDALBirmingham,35758.46,6413.61,5634.84
DRG391,RIDALMontgomery,19151.37,7749.14,7080.7
DRG391,RIDALMontgomery,27665.6,6632.83,6052.36
DRG391,RIDALBirmingham,12402.07,6785.57,5417.07
DRG391,RIDALBirmingham,14102.65,6610.41,5583.2
DRG391,RIDALBirmingham,20170.98,8783.2,7410.2
DRG391,RIDALBirmingham,34935.5,6199,5097.81
DRG391,RIDALBirmingham,30325,6099.3,5013.76
DRG394,RIDNCRaleigh,19630.45,5849.18,4504.18
DRG394,RIDWIAppleton,8879.58,5618.83,4653.58
DRG439,RIDFLOrlando,38889.24,7081.32,5817.92
DRG392,RIDALDothan,20609.24,4370.31,2999.76
DRG392,RIDALBirmingham,10594.07,6300.87,2957.44
DRG392,RIDALBirmingham,18220.04,3849.55,2868.45
DRG392,RIDALDothan,8624.59,3720.16,2931.09
DRG392,RIDALMontgomery,12601.33,5213.75,4375.41
DRG392,RIDALBirmingham,27071.4,4525.92,2942.8
DRG392,RIDALHuntsville,9241.21,3788.2,2684.42
DRG392,RIDALBirmingham,14984.56,3924.25,2943.47
DRG392,RIDALBirmingham,20179.98,3727.03,2884.89
DRG392,RIDALBirmingham,23166.63,4103.61,2992
DRG460,RIDCTHartford,87622,24542.09,23521.72
DRG460,RIDCTNewHaven,76670.15,32285.29,24279.63
DRG473,RIDILBloomington,53258,21171,9419.08
DRG473,RIDPAAllentown,80482.18,14250.5,11845.5
DRG473,RIDSCCharleston,40148.93,11489.57,10468.24
DRG394,RIDCARedding,47774.33,7678.91,6403.33
DRG394,RIDCTHartford,25082.97,7238.95,6003.21
DRG394,RIDILEvanston,21935.81,6708.59,5962.22
DRG394,RIDKYPaducah,19276.81,5729.18,5066.09
DRG394,RIDMEPortland,15174.13,7329.07,6385.34
DRG394,RIDMABoston,12995.94,6596.76,5916.11
DRG394,RIDALDothan,28654.06,5618.62,5029.09
DRG394,RIDALBirmingham,11517,5812.35,5150.23
DRG418,RIDALDothan,42380.07,10145.8,9046.23
DRG418,RIDALBirmingham,19605.13,9935.4,9031.93
DRG418,RIDALBirmingham,40141.31,9071.05,8184.1
DRG418,RIDALHuntsville,26315.81,8841.27,8329.63
DRG418,RIDALBirmingham,26493.26,8908.73,7985.2
DRG418,RIDALBirmingham,50721,9443.09,8519.81
DRG418,RIDALBirmingham,21616.61,9153.88,8039.44
DRG418,RIDALMontgomery,39192.56,9176.37,7229.06
DRG418,RIDALBirmingham,21379.66,9703.33,8768
DRG418,RIDALBirmingham,66541.36,9025.18,7290.63
DRG419,RIDALDothan,26190.13,6612.4,5635.6
DRG419,RIDALBirmingham,22091.5,6373.5,5526.5
DRG419,RIDALBirmingham,34197.31,6497.73,5607.42
DRG419,RIDALBirmingham,18194,6320.15,5009.46
DRG419,RIDALMontgomery,23279.33,7849.58,7008.58
DRG419,RIDALMontgomery,29879,6970.66,4842
DRG419,RIDALBirmingham,12509.75,6682.16,5744.16
DRG419,RIDALBirmingham,31067.66,8508.2,7604.73
DRG419,RIDALHuntsville,29531.38,7404.33,5740.19
DRG419,RIDALBirmingham,69747.34,6126.61,5301.84
DRG439,RIDALBirmingham,15285.27,6384.54,4408.18
DRG439,RIDALBirmingham,25451.83,5554.16,3908.25
DRG439,RIDALBirmingham,27758.4,6658.66,4599.33
DRG439,RIDALMontgomery,18855.73,6648.47,5893.52
DRG439,RIDALMontgomery,22446.5,5602.72,4666.59
DRG439,RIDALBirmingham,9614.72,5761.18,4743.72
DRG439,RIDALBirmingham,26588.69,8041.69,6399.39
DRG439,RIDALBirmingham,12887.54,5532.81,4609.54
DRG439,RIDALHuntsville,18103.62,6107.37,5085.29
DRG460,RIDALDothan,79955.22,21572.1,20307.47
DRG460,RIDALBirmingham,71199.06,19646.56,18524.56
DRG460,RIDALBirmingham,44224.07,20594.92,19271.14
DRG460,RIDALBirmingham,72088.62,21391.56,20265.56
DRG460,RIDALBirmingham,46687.13,20479.4,19223.53
DRG460,RIDALMontgomery,68579.74,24165.87,22734.36
DRG460,RIDALMontgomery,86991.69,19307.88,16997.5
DRG460,RIDALBirmingham,21212.27,21507.79,20342.64
DRG469,RIDALDothan,65490.85,18340.71,16955.14
